Rank,Name
1,Massachusetts Institute of Technology (MIT)
2,Stanford University
3,Harvard University
4,California Institute of Technology (Caltech)
5,University of Chicago
6,Princeton University
7,Cornell University
8,Yale University
9,Columbia University
10,University of Pennsylvania
11,University of Michigan
12,Johns Hopkins University
13,Duke University
14,University of California - Berkeley (UCB)
15,University of California - Los Angeles (UCLA)
16,Northwestern University
17,University of California - San Diego (UCSD)
18,New York University
19,Carnegie Mellon University
20,University of Wisconsin-Madison
21,Brown University
22,University of Texas at Austin
23,University of Washington
24,Georgia Institute of Technology
25,University of Illinois at Urbana-Champaign
26,University of North Carolina - Chapel Hill
27,Rice University
28,The Ohio State University
29,Boston University
30,Pennsylvania State University
31,Washington University in St. Louis
31,Purdue University
31,University of California - Davis
34,University of Southern California
35,University of Maryland - College Park
36,University of California - Santa Barbara (UCSB)
37,University of Pittsburgh
38,Michigan State University
39,Emory University
40,University of Minnesota
41,University of California - Irvine
42,University of Florida
43,Dartmouth College 
44,University of Rochester
45,Case Western Reserve University
46,University of Colorado Boulder
47,University of Virginia
48,Vanderbilt University
49,Texas A&M University
50,Arizona State University
50,University of Notre Dame
52,University of Illinois - Chicago (UIC)
53,Georgetown University 
54,Tufts University
55,University of Miami
56,The University of Arizona
57,University of Massachusetts Amherst
58,North Carolina State University
59,Rutgers University - New Brunswick
60,University of Hawai'i at Mañoa
61,The Katz School at Yeshiva University
62,University at Buffalo SUNY
63,Indiana University Bloomington
64,Northeastern University
65,University of California - Santa Cruz
66,Virginia Polytechnic Institute and State University
67,George Washington University
67,Rensselaer Polytechnic University
67,University of Utah
70,Stony Brook University - State University of New York
71,University of Kansas
72,University of Connecticut
73,Boston College
74,University of California - Riverside
75,Wake Forest University
76,Washington State University
77,University of Colorado - Denver
78,Tulane University
79,The University of Tennessee - Knoxville
80,Illinois Institute of Technology
80,University of Texas Dallas 
82,Brandeis University
83,The University of Georgia
84,University of Iowa
85,University of Delaware
85,Wayne State University
87,Colorado State University
87,Oregon State University
89,University of Maryland - Baltimore County
90,Clark University 
91,Florida State University
92,Iowa State University
93,University of New Mexico
94,University of Oklahoma
95,Drexel University
95,Lehigh University
95,Howard University
98,University of South Florida
99,The New School
99,University of Vermont
